date,open,high,low,close,volume
202011241221,62208,62208,62208,62208,500
202011241223,62208,62208,62208,62208,1
202011241224,62303,62303,62208,62208,3
202011241225,62208,62208,62208,62208,26
202011241226,62208,62208,62208,62208,126
202011241227,62303,62303,62303,62303,5
202011241228,62303,62303,62303,62303,123
202011241229,62303,62303,62208,62208,12
202011241230,62208,62208,62208,62208,50
202011241232,62208,62208,62208,62208,17
202011241237,62208,62208,62208,62208,25
202011241238,62208,62208,62208,62208,5
202011241239,62208,62208,62208,62208,25
202011241241,62208,62208,62208,62208,35
202011241242,62208,62208,62208,62208,101
202011241243,62208,62208,62208,62208,38
202011241244,62208,62208,62208,62208,7
202011241247,62208,62208,62208,62208,40
202011241250,62208,62208,62208,62208,37
202011241253,62208,62303,62208,62303,161
202011241254,62208,62208,62208,62208,128
202011241256,62208,62208,62208,62208,233
202011241258,62303,62303,62208,62208,12
202011241259,62208,62208,62208,62208,3
202011241300,62208,62208,62208,62208,67
202011241302,62208,62208,62208,62208,76
202011241304,62208,62208,62112,62112,35
202011241305,62112,62208,62112,62208,15
202011241306,62208,62208,62208,62208,32
202011241309,62208,62208,62208,62208,35
202011241310,62208,62208,62112,62112,70
202011241314,62112,62112,62112,62112,137
202011241322,62112,62112,62112,62112,1
202011241324,62112,62112,62112,62112,15
202011241328,62208,62208,62208,62208,10
202011241329,62303,62303,62303,62303,1
202011241331,62303,62303,62303,62303,5
202011241332,62303,62303,62303,62303,35
202011241333,62303,62303,62303,62303,15
202011241334,62303,62303,62303,62303,20
202011241335,62303,62303,62303,62303,1
202011241336,62208,62303,62208,62303,50
202011241337,62303,62303,62303,62303,10
202011241338,62303,62303,62303,62303,10
202011241342,62208,62208,62208,62208,200
202011241343,62303,62303,62303,62303,13
202011241345,62303,62303,62303,62303,50
202011241350,62303,62303,62303,62303,1
202011241352,62208,62208,62208,62208,77
202011241356,62208,62303,62208,62303,50
202011241358,62112,62112,62112,62112,20
202011241402,62208,62208,62208,62208,100
202011241412,62303,62303,62303,62303,21
202011241415,62398,62398,62398,62398,3
202011241417,62398,62398,62303,62303,101
202011241418,62303,62303,62303,62303,90
202011241419,62303,62303,62208,62208,250
202011241423,62398,62398,62208,62208,2
202011241424,62208,62208,62208,62208,1
202011241425,62208,62208,62208,62208,59
202011241430,62208,62208,62208,62208,40
202011241431,62208,62208,62112,62112,1216
202011241436,62303,62303,62303,62303,9
202011241437,62303,62303,62208,62208,16
202011241439,62208,62208,62208,62208,28
202011241440,62208,62208,62208,62208,93
202011241441,62208,62208,62208,62208,11
202011241449,62303,62303,62208,62208,11
202011241450,62208,62208,62208,62208,128
202011241454,62303,62303,62208,62208,176
202011241455,62208,62208,62208,62208,26
202011241456,62112,62208,62112,62208,152
202011241457,62208,62208,62208,62208,41
202011241458,62208,62208,62208,62208,125
202011241500,62208,62208,62208,62208,90
202011241501,62112,62208,62112,62208,9
202011241503,62208,62208,62208,62208,2
202011241504,62208,62208,62208,62208,2
202011241505,62208,62208,62208,62208,20
202011241509,62112,62112,62112,62112,25
202011241510,62112,62208,62112,62208,44
202011241511,62208,62208,62208,62208,74
202011241512,62208,62208,62208,62208,21
202011241514,62208,62208,62208,62208,1
202011241515,62208,62208,62208,62208,100
202011241516,62208,62208,62208,62208,99
202011241517,62303,62303,62303,62303,10
202011241518,62303,62303,62303,62303,36
202011241519,62208,62208,62208,62208,28
202011241530,62303,62303,62303,62303,243
202011250901,61921,61921,61063,61063,685
202011250902,61540,61540,61349,61444,60
202011250903,61540,61826,61540,61826,5
202011250904,61826,61826,61826,61826,19
202011250905,61826,61921,61540,61540,44
202011250906,61730,61730,61730,61730,120
202011250907,61730,61730,61635,61635,271
202011250908,61635,61635,61635,61635,90
202011250909,61540,61635,61444,61444,447
202011250910,61444,61444,61349,61349,475
202011250911,61253,61444,61253,61444,109
202011250912,61540,61826,61444,61444,137
202011250913,61444,61826,61444,61826,37
202011250914,61826,61826,61826,61826,3
202011250915,61826,61826,61444,61826,114
202011250920,61826,61826,61826,61826,1
202011250921,61826,61826,61253,61253,384
202011250922,61253,61253,61253,61253,9
202011250923,61253,61253,61158,61158,400
202011250924,61253,61253,61158,61158,92
202011250925,61158,61158,61158,61158,11
202011250926,61253,61253,61253,61253,10
202011250927,61635,61635,61635,61635,3
202011250928,61635,61635,61635,61635,3
202011250930,61635,61635,61635,61635,10
202011250931,61349,61349,61253,61253,115
202011250932,61635,61635,61635,61635,6
202011250934,61444,61444,61253,61253,73
202011250935,61253,61253,61253,61253,201
202011250937,61253,61253,61253,61253,10
202011250938,61253,61253,61253,61253,100
202011250939,61253,61253,61253,61253,13
202011250940,61253,61635,61253,61635,19
202011250941,61635,61635,61635,61635,5
202011250942,61540,61540,61540,61540,10
202011250944,61540,61540,61540,61540,8
202011250945,61540,61540,61540,61540,4
202011250946,61444,61540,61444,61540,67
202011250947,61635,61635,61635,61635,29
202011250949,61540,61540,61540,61540,90
202011250950,61540,61540,61540,61540,5
202011250951,61540,61540,61540,61540,5
202011250952,61540,61540,61540,61540,20
202011250954,61540,61540,61540,61540,16
202011250956,61730,61730,61730,61730,2
202011251000,61730,61730,61730,61730,22
202011251001,61730,61730,61730,61730,1
202011251002,61730,61826,61730,61826,75
202011251005,61730,61730,61730,61730,4
202011251006,61730,61730,61635,61635,11
202011251007,61826,61826,61826,61826,28
202011251009,61921,61921,61921,61921,2
202011251010,61921,61921,61921,61921,1
202011251011,61921,61921,61921,61921,40
202011251012,61921,62017,61921,62017,101
202011251014,62017,62017,62017,62017,13
202011251015,61730,61730,61730,61730,85
202011251016,61730,61730,61540,61540,289
202011251021,61540,61540,61540,61540,1
202011251023,61635,62017,61635,62017,2
202011251025,61921,61921,61921,61921,10
202011251026,61921,61921,61540,61921,171
202011251028,61921,61921,61921,61921,100
202011251031,61635,61635,61635,61635,49
202011251032,61921,61921,61921,61921,10
202011251033,61921,61921,61921,61921,1
202011251036,61635,61635,61635,61635,50
202011251048,61635,61826,61635,61826,12
202011251049,61826,61826,61826,61826,34
202011251056,61826,61826,61826,61826,17
202011251059,61921,61921,61921,61921,7
202011251102,61826,61826,61826,61826,251
202011251103,61921,61921,61921,61921,4
202011251104,61826,61826,61826,61826,1
202011251105,61921,61921,61921,61921,1
202011251108,61826,61826,61826,61826,75
202011251109,61730,61730,61730,61730,1
202011251114,61730,61730,61730,61730,4
202011251115,61730,61730,61730,61730,3
202011251116,61635,61635,61635,61635,25
202011251118,61635,61635,61635,61635,7
202011251120,61635,61635,61635,61635,87
202011251121,61635,61635,61635,61635,50
202011251126,61730,61730,61730,61730,151
202011251133,61730,61730,61730,61730,36
202011251136,61730,61730,61730,61730,14
202011251137,61730,61730,61730,61730,37
202011251139,61730,61730,61730,61730,54
202011251140,61730,61730,61730,61730,100
202011251141,61730,61730,61730,61730,34
202011251142,61730,61730,61730,61730,77
202011251143,61730,61730,61635,61635,50
202011251146,61635,61635,61635,61635,20
202011251148,61635,61635,61540,61540,167
202011251149,61540,61540,61540,61540,75
202011251150,61730,61730,61730,61730,1
202011251152,61635,61635,61540,61540,50
202011251154,61540,61540,61540,61540,55
202011251156,61540,61540,61540,61540,4
202011251157,61444,61444,61444,61444,52
202011251158,61444,61444,61444,61444,68
202011251200,61444,61444,61444,61444,5
202011251203,61444,61444,61444,61444,13
202011251205,61444,61444,61444,61444,20
202011251206,61349,61349,61349,61349,29
202011251207,61349,61349,61349,61349,84
202011251208,61444,61444,61444,61444,13
202011251210,61444,61444,61444,61444,4
202011251211,61349,61444,61349,61444,4
